x,y,z,p,i,j,s,val-esp
0.2,0.4,3.0,1000.0,5.0,1.4804,3.490.658.503.988.650,1.911
0.2,0.4,3.0,1000.0,5.0,1.5163,4.886.921.905.584.120,23.856
0.2,0.4,3.0,1000.0,5.0,1.5517,6.283.185.307.179.580,29.266
0.2,0.4,3.0,1000.0,5.0,1.5842,767.944.870.877.505,34.994
0.2,0.4,3.0,1000.0,5.0,1.6144,9.075.712.110.370.510,40.955
0.2,0.4,3.0,1000.0,5.0,1.6448,10.471.975.511.965.900,47.072
0.2,0.4,3.0,1000.0,5.0,52.817,11.868.238.913.561.400,14.393
0.2,0.4,3.0,1000.0,5.0,1.6748,13.264.502.315.156.900,54.743
0.2,0.4,3.0,1000.0,5.0,78.113,14.660.765.716.752.300,33.237
0.2,0.4,3.0,1000.0,5.0,1.0332,0.0,31.278
0.2,0.4,3.0,1000.0,5.0,1.0974,1.396.263.401.595.460,52.469
0.2,0.4,3.0,1000.0,5.0,1.162,2.792.526.803.190.920,7.253
0.2,0.4,3.0,1000.0,5.0,1.2234,418.879.020.478.639,98.197
0.2,0.4,3.0,1000.0,5.0,1.2717,5.585.053.606.381.850,12.899
0.8,0.4,3.0,1000.0,20.0,15.608,1.117.010.721.276.370,"9,23E-02"
0.8,0.4,3.0,1000.0,20.0,99.439,12.566.370.614.359.100,54.376
0.8,0.4,3.0,1000.0,20.0,1.0179,13.962.634.015.954.600,60.824
0.8,0.4,3.0,1000.0,20.0,1.0437,153.588.974.175.501,68.058
0.8,0.4,3.0,1000.0,20.0,1.0996,698.131.700.797.731,66.418
0.8,0.4,3.0,1000.0,20.0,1.1271,2.094.395.102.393.190,86.616
0.8,0.4,3.0,1000.0,20.0,1.1537,3.490.658.503.988.650,10.275
0.8,0.4,3.0,1000.0,20.0,1.179,4.886.921.905.584.120,11.873
0.8,0.4,3.0,1000.0,20.0,1.2025,6.283.185.307.179.580,13.379
0.8,0.4,3.0,1000.0,20.0,1.224,767.944.870.877.505,14.571
0.8,0.4,3.0,1000.0,20.0,30.959,9.075.712.110.370.510,32.961
0.8,0.4,3.0,1000.0,20.0,1.2437,10.471.975.511.965.900,14.839
0.8,0.4,3.0,1000.0,20.0,45.562,11.868.238.913.561.400,73.768
0.8,0.4,3.0,1000.0,20.0,59.043,13.264.502.315.156.900,12.444
0.8,0.4,3.0,1000.0,20.0,70.777,14.660.765.716.752.300,18.348
0.8,0.4,3.0,1000.0,20.0,88.543,0.0,18.048
0.8,0.4,3.0,1000.0,20.0,93.025,1.396.263.401.595.460,34.441
0.8,0.4,3.0,1000.0,20.0,97.123,2.792.526.803.190.920,44.677
0.2,0.4,4.0,1000.0,5.0,2.474,6.981.317.007.977.310,"2,51E-01"
0.2,0.4,4.0,1000.0,5.0,1.194,8.377.580.409.572.780,15.453
0.2,0.4,4.0,1000.0,5.0,1.2223,9.773.843.811.168.240,18.699
0.2,0.4,4.0,1000.0,5.0,1.2507,1.117.010.721.276.370,22.022
0.2,0.4,4.0,1000.0,5.0,1.2784,12.566.370.614.359.100,25.357
0.2,0.4,4.0,1000.0,5.0,1.3044,13.962.634.015.954.600,28.563
0.2,0.4,4.0,1000.0,5.0,1.3258,153.588.974.175.501,3.154
0.2,0.4,4.0,1000.0,5.0,1.3696,698.131.700.797.731,13.729
0.2,0.4,4.0,1000.0,5.0,1.3908,2.094.395.102.393.190,18.824
0.2,0.4,4.0,1000.0,5.0,1.4101,3.490.658.503.988.650,23.485
0.2,0.4,4.0,1000.0,5.0,49.089,4.886.921.905.584.120,"8,26E-01"
0.2,0.4,4.0,1000.0,5.0,1.4279,6.283.185.307.179.580,32.409
0.2,0.4,4.0,1000.0,5.0,7.259,767.944.870.877.505,22.556
0.2,0.4,4.0,1000.0,5.0,91.559,9.075.712.110.370.510,42.394
0.2,0.4,4.0,1000.0,5.0,99.883,10.471.975.511.965.900,64.948
0.2,0.4,4.0,1000.0,5.0,1.0388,11.868.238.913.561.400,88.557
0.2,0.4,4.0,1000.0,5.0,1.0815,13.264.502.315.156.900,11.292
0.2,0.4,4.0,1000.0,5.0,1.1237,14.660.765.716.752.300,13.769
0.8,0.4,4.0,1000.0,20.0,14.175,418.879.020.478.639,"6,10E-01"
0.8,0.4,4.0,1000.0,20.0,94.813,5.585.053.606.381.850,4.995
0.8,0.4,4.0,1000.0,20.0,96.585,6.981.317.007.977.310,58.078
0.8,0.4,4.0,1000.0,20.0,98.315,8.377.580.409.572.780,64.425
0.8,0.4,4.0,1000.0,20.0,99.656,9.773.843.811.168.240,69.479
0.8,0.4,4.0,1000.0,20.0,01.01,1.117.010.721.276.370,74.094
0.8,0.4,4.0,1000.0,20.0,1.024,12.566.370.614.359.100,7.912
0.8,0.4,4.0,1000.0,20.0,1.0394,13.962.634.015.954.600,84.761
0.8,0.4,4.0,1000.0,20.0,1.0554,153.588.974.175.501,9.114
0.8,0.4,4.0,1000.0,20.0,1.0873,698.131.700.797.731,80.129
0.8,0.4,4.0,1000.0,20.0,28.112,2.094.395.102.393.190,22.933
0.8,0.4,4.0,1000.0,20.0,1.1026,3.490.658.503.988.650,11.764
0.8,0.4,4.0,1000.0,20.0,41.489,4.886.921.905.584.120,53.651
0.8,0.4,4.0,1000.0,20.0,53.824,6.283.185.307.179.580,99.247
0.8,0.4,4.0,1000.0,20.0,64.821,767.944.870.877.505,15.584
0.8,0.4,4.0,1000.0,20.0,74.131,9.075.712.110.370.510,21.685
0.8,0.4,4.0,1000.0,20.0,81.834,10.471.975.511.965.900,27.592
0.8,0.4,4.0,1000.0,20.0,87.944,11.868.238.913.561.400,3.336
0.8,0.4,4.0,1000.0,20.0,91.833,13.264.502.315.156.900,39.088
0.2,0.4,6.0,1000.0,5.0,24.384,0.0,"1,63E-01"
0.2,0.4,6.0,1000.0,5.0,1.111,1.396.263.401.595.460,81.331
0.2,0.4,6.0,1000.0,5.0,1.1272,2.792.526.803.190.920,10.771
0.2,0.4,6.0,1000.0,5.0,1.1439,418.879.020.478.639,13.656
0.2,0.4,6.0,1000.0,5.0,1.1604,5.585.053.606.381.850,16.809
0.2,0.4,6.0,1000.0,5.0,1.1764,6.981.317.007.977.310,20.193
0.2,0.4,6.0,1000.0,5.0,1.191,8.377.580.409.572.780,23.793
0.2,0.4,6.0,1000.0,5.0,1.2034,9.773.843.811.168.240,27.509
0.2,0.4,6.0,1000.0,5.0,1.2157,1.117.010.721.276.370,3.114
0.2,0.4,6.0,1000.0,5.0,1.228,12.566.370.614.359.100,34.615
0.2,0.4,6.0,1000.0,5.0,1.2399,13.962.634.015.954.600,37.784
0.2,0.4,6.0,1000.0,5.0,48.326,153.588.974.175.501,12.697
0.2,0.4,6.0,1000.0,5.0,7.135,698.131.700.797.731,13.909
0.2,0.4,6.0,1000.0,5.0,908,2.094.395.102.393.190,27.253
0.2,0.4,6.0,1000.0,5.0,96.709,3.490.658.503.988.650,4.365
0.2,0.4,6.0,1000.0,5.0,1.0116,4.886.921.905.584.120,62.537
0.2,0.4,6.0,1000.0,5.0,1.037,6.283.185.307.179.580,83.289
0.2,0.4,6.0,1000.0,5.0,1.0631,767.944.870.877.505,10.646
0.2,0.4,6.0,1000.0,5.0,1.0883,9.075.712.110.370.510,13.195
0.8,0.4,6.0,1000.0,20.0,14.434,14.660.765.716.752.300,"7,35E-01"
0.8,0.4,6.0,1000.0,20.0,94.282,0.0,23.293
0.8,0.4,6.0,1000.0,20.0,95.453,1.396.263.401.595.460,52.238
0.8,0.4,6.0,1000.0,20.0,96.573,2.792.526.803.190.920,66.786
0.8,0.4,6.0,1000.0,20.0,97.499,418.879.020.478.639,78.267
0.8,0.4,6.0,1000.0,20.0,98.424,5.585.053.606.381.850,88.548
0.8,0.4,6.0,1000.0,20.0,99.202,6.981.317.007.977.310,96.378
0.8,0.4,6.0,1000.0,20.0,99.974,8.377.580.409.572.780,10.107
0.8,0.4,6.0,1000.0,20.0,1.1969,9.773.843.811.168.240,10.442
0.8,0.4,6.0,1000.0,20.0,1.0142,1.117.010.721.276.370,10.845
0.8,0.4,6.0,1000.0,20.0,28.577,12.566.370.614.359.100,2.858
0.8,0.4,6.0,1000.0,20.0,1.0216,13.962.634.015.954.600,11.326
0.8,0.4,6.0,1000.0,20.0,42.014,153.588.974.175.501,61.701
0.8,0.4,6.0,1000.0,20.0,64.925,698.131.700.797.731,12.124
0.8,0.4,6.0,1000.0,20.0,73.732,2.094.395.102.393.190,1.962
0.8,0.4,6.0,1000.0,20.0,80.924,3.490.658.503.988.650,2.752
0.8,0.4,6.0,1000.0,20.0,86.343,4.886.921.905.584.120,35.731
0.8,0.4,6.0,1000.0,20.0,90.198,6.283.185.307.179.580,4.357
0.2,0.6,10.0,1000.0,5.0,21.245,10.471.975.511.965.900,"1,82E-01"
0.2,0.6,10.0,1000.0,5.0,1.0446,11.868.238.913.561.400,11.087
0.2,0.6,10.0,1000.0,5.0,1.0568,13.264.502.315.156.900,12.659
0.2,0.6,10.0,1000.0,5.0,1.067,14.660.765.716.752.300,14.208
0.2,0.6,10.0,1000.0,5.0,1.083,0.0,61.035
0.2,0.6,10.0,1000.0,5.0,1.0909,1.396.263.401.595.460,10.853
0.2,0.6,10.0,1000.0,5.0,1.0987,2.792.526.803.190.920,13.675
0.2,0.6,10.0,1000.0,5.0,1.1063,418.879.020.478.639,16.114
0.2,0.6,10.0,1000.0,5.0,1.1128,5.585.053.606.381.850,18.478
0.2,0.6,10.0,1000.0,5.0,1.1185,6.981.317.007.977.310,20.808
0.2,0.6,10.0,1000.0,5.0,4.224,8.377.580.409.572.780,"6,45E-01"
0.2,0.6,10.0,1000.0,5.0,1.1243,9.773.843.811.168.240,24.183
0.2,0.6,10.0,1000.0,5.0,62.737,1.117.010.721.276.370,15.453
0.2,0.6,10.0,1000.0,5.0,81.905,12.566.370.614.359.100,28.301
0.2,0.6,10.0,1000.0,5.0,92.929,13.962.634.015.954.600,43.248
0.2,0.6,10.0,1000.0,5.0,99.662,153.588.974.175.501,58.268
0.2,0.6,10.0,1000.0,5.0,1.0186,698.131.700.797.731,48.912
0.2,0.6,10.0,1000.0,5.0,1.0318,2.094.395.102.393.190,70.374
0.8,0.6,10.0,1000.0,13.333,1.469,767.944.870.877.505,"4,77E-02"
0.8,0.6,10.0,1000.0,13.333,9.167,9.075.712.110.370.510,33.347
0.8,0.6,10.0,1000.0,13.333,92.756,10.471.975.511.965.900,36.887
0.8,0.6,10.0,1000.0,13.333,93.568,11.868.238.913.561.400,41.083
0.8,0.6,10.0,1000.0,13.333,94.317,13.264.502.315.156.900,46.374
0.8,0.6,10.0,1000.0,13.333,95.014,14.660.765.716.752.300,51.662
0.8,0.6,10.0,1000.0,13.333,96.218,0.0,31.717
0.8,0.6,10.0,1000.0,13.333,9.677,1.396.263.401.595.460,6.606
0.8,0.6,10.0,1000.0,13.333,97.263,2.792.526.803.190.920,80.031
0.8,0.6,10.0,1000.0,13.333,97.732,418.879.020.478.639,88.199
0.8,0.6,10.0,1000.0,13.333,29.165,5.585.053.606.381.850,186
0.8,0.6,10.0,1000.0,13.333,98.176,6.981.317.007.977.310,89.474
0.8,0.6,10.0,1000.0,13.333,43.057,8.377.580.409.572.780,4.187
0.8,0.6,10.0,1000.0,13.333,5.573,9.773.843.811.168.240,7.253
0.8,0.6,10.0,1000.0,13.333,66.579,1.117.010.721.276.370,10.764
0.8,0.6,10.0,1000.0,13.333,75.314,12.566.370.614.359.100,14.503
0.8,0.6,10.0,1000.0,13.333,82.032,13.962.634.015.954.600,18.501
0.8,0.6,10.0,1000.0,13.333,86.807,153.588.974.175.501,22.751
0.2,0.6,20.0,100.0,5.0,90.753,14.660.765.716.752.300,36.581
0.2,0.6,20.0,100.0,5.0,97.364,0.0,20.921
0.2,0.6,20.0,100.0,5.0,40.011,13.962.634.015.954.600,64.764
0.2,0.6,20.0,100.0,5.0,47.849,153.588.974.175.501,93.828
0.2,0.6,20.0,100.0,5.0,63.216,698.131.700.797.731,12.098
0.2,0.6,20.0,100.0,5.0,32.098,12.566.370.614.359.100,40.711
0.2,0.6,20.0,1000.0,5.0,11.252,3.490.658.503.988.650,"3,88E-02"
0.2,0.6,20.0,1000.0,5.0,97.662,4.886.921.905.584.120,4.031
0.2,0.6,20.0,1000.0,5.0,98.379,6.283.185.307.179.580,48.252
0.2,0.6,20.0,1000.0,5.0,99.097,767.944.870.877.505,56.675
0.2,0.6,20.0,1000.0,5.0,99.768,9.075.712.110.370.510,65.528
0.2,0.6,20.0,1000.0,5.0,99.989,10.471.975.511.965.900,74.187
0.2,0.6,20.0,1000.0,5.0,1.2022,11.868.238.913.561.400,82.773
0.2,0.6,20.0,1000.0,5.0,1.1953,13.264.502.315.156.900,90.994
0.2,0.6,20.0,1000.0,5.0,1.1986,14.660.765.716.752.300,98.794
0.2,0.6,20.0,1000.0,5.0,1.0151,0.0,4.062
0.2,0.6,20.0,1000.0,5.0,22.478,1.396.263.401.595.460,"1,55E-01"
0.2,0.6,20.0,1000.0,5.0,1.0183,2.792.526.803.190.920,87.211
0.2,0.6,20.0,1000.0,5.0,33.617,418.879.020.478.639,"3,46E-01"
0.2,0.6,20.0,1000.0,5.0,44.636,5.585.053.606.381.850,"6,42E-01"
0.2,0.6,20.0,1000.0,5.0,55.486,6.981.317.007.977.310,1.056
0.2,0.6,20.0,1000.0,5.0,66.105,8.377.580.409.572.780,16.005
0.2,0.6,20.0,1000.0,5.0,76.387,9.773.843.811.168.240,22.818
0.2,0.6,20.0,1000.0,5.0,8.597,1.117.010.721.276.370,3.066
0.2,0.6,20.0,1000.0,5.0,93.368,12.566.370.614.359.100,39.066
0.8,0.6,20.0,1000.0,13.333,14.058,698.131.700.797.731,"5,28E-01"
0.8,0.6,20.0,1000.0,13.333,89.634,2.094.395.102.393.190,33.508
0.8,0.6,20.0,1000.0,13.333,90.544,3.490.658.503.988.650,41.422
0.8,0.6,20.0,1000.0,13.333,91.211,4.886.921.905.584.120,4.651
0.8,0.6,20.0,1000.0,13.333,91.683,6.283.185.307.179.580,49.663
0.8,0.6,20.0,1000.0,13.333,92.105,767.944.870.877.505,51.969
0.8,0.6,20.0,1000.0,13.333,925,9.075.712.110.370.510,54.017
0.8,0.6,20.0,1000.0,13.333,92.846,10.471.975.511.965.900,5.774
0.8,0.6,20.0,1000.0,13.333,9.318,11.868.238.913.561.400,63.789
0.8,0.6,20.0,1000.0,13.333,93.488,13.264.502.315.156.900,70.704
0.8,0.6,20.0,1000.0,13.333,93.773,14.660.765.716.752.300,76.398
0.8,0.6,20.0,1000.0,13.333,94.047,0.0,35.436
0.8,0.6,20.0,1000.0,13.333,41.232,1.396.263.401.595.460,44.673
0.8,0.6,20.0,1000.0,13.333,53.449,2.792.526.803.190.920,73.262
0.8,0.6,20.0,1000.0,13.333,63.965,418.879.020.478.639,10.894
0.8,0.6,20.0,1000.0,13.333,72.551,5.585.053.606.381.850,15.029
0.8,0.6,20.0,1000.0,13.333,7.918,6.981.317.007.977.310,19.152
0.8,0.6,20.0,1000.0,13.333,84.207,8.377.580.409.572.780,22.718
0.8,0.6,20.0,1000.0,13.333,87.545,9.773.843.811.168.240,2.592
0.2,0.6,3.0,1000.0,5.0,28.938,13.962.634.015.954.600,"3,64E-01"
0.2,0.6,3.0,1000.0,5.0,1.3672,153.588.974.175.501,19.202
0.2,0.6,3.0,1000.0,5.0,1.4558,698.131.700.797.731,14.237
0.2,0.6,3.0,1000.0,5.0,1.495,2.094.395.102.393.190,18.324
0.2,0.6,3.0,1000.0,5.0,1.5339,3.490.658.503.988.650,21.704
0.2,0.6,3.0,1000.0,5.0,1.5714,4.886.921.905.584.120,25.402
0.2,0.6,3.0,1000.0,5.0,1.6051,6.283.185.307.179.580,29.448
0.2,0.6,3.0,1000.0,5.0,1.6383,767.944.870.877.505,33.733
0.2,0.6,3.0,1000.0,5.0,1.6711,9.075.712.110.370.510,38.227
0.2,0.6,3.0,1000.0,5.0,1.7023,10.471.975.511.965.900,42.887
0.2,0.6,3.0,1000.0,5.0,57.441,11.868.238.913.561.400,1.325
0.2,0.6,3.0,1000.0,5.0,1.7314,13.264.502.315.156.900,48.539
0.2,0.6,3.0,1000.0,5.0,84.664,14.660.765.716.752.300,30.184
0.2,0.6,3.0,1000.0,5.0,1.0703,0.0,38.521
0.2,0.6,3.0,1000.0,5.0,1.1412,1.396.263.401.595.460,64.586
0.2,0.6,3.0,1000.0,5.0,1.2105,2.792.526.803.190.920,84.796
0.2,0.6,3.0,1000.0,5.0,1.2677,418.879.020.478.639,10.746
0.2,0.6,3.0,1000.0,5.0,1.3177,5.585.053.606.381.850,13.291
0.8,0.6,3.0,1000.0,13.333,16.362,1.117.010.721.276.370,"6,05E-01"
0.8,0.6,3.0,1000.0,13.333,1.013,12.566.370.614.359.100,38.668
0.8,0.6,3.0,1000.0,13.333,1.0401,13.962.634.015.954.600,43.401
0.8,0.6,3.0,1000.0,13.333,1.0702,153.588.974.175.501,48.773
0.8,0.6,3.0,1000.0,13.333,1.1307,698.131.700.797.731,62.795
0.8,0.6,3.0,1000.0,13.333,1.1594,2.094.395.102.393.190,77.061
0.8,0.6,3.0,1000.0,13.333,1.1864,3.490.658.503.988.650,85.595
0.8,0.6,3.0,1000.0,13.333,1.2111,4.886.921.905.584.120,92.801
0.8,0.6,3.0,1000.0,13.333,1.2331,6.283.185.307.179.580,99.574
0.8,0.6,3.0,1000.0,13.333,1.2537,767.944.870.877.505,10.524
0.8,0.6,3.0,1000.0,13.333,32.519,9.075.712.110.370.510,23.486
0.8,0.6,3.0,1000.0,13.333,1.2735,10.471.975.511.965.900,10.509
0.8,0.6,3.0,1000.0,13.333,48.081,11.868.238.913.561.400,51.544
0.8,0.6,3.0,1000.0,13.333,62.345,13.264.502.315.156.900,88.447
0.8,0.6,3.0,1000.0,13.333,74.585,14.660.765.716.752.300,13.152
0.8,0.6,3.0,1000.0,13.333,91.786,0.0,18.303
0.8,0.6,3.0,1000.0,13.333,95.763,1.396.263.401.595.460,31.782
0.8,0.6,3.0,1000.0,13.333,98.743,2.792.526.803.190.920,3.832
0.2,0.6,4.0,1000.0,5.0,26.156,6.981.317.007.977.310,"2,43E-01"
0.2,0.6,4.0,1000.0,5.0,1.2199,8.377.580.409.572.780,14.135
0.2,0.6,4.0,1000.0,5.0,1.2505,9.773.843.811.168.240,16.657
0.2,0.6,4.0,1000.0,5.0,1.2803,1.117.010.721.276.370,19.264
0.2,0.6,4.0,1000.0,5.0,1.3077,12.566.370.614.359.100,21.896
0.2,0.6,4.0,1000.0,5.0,1.3314,13.962.634.015.954.600,24.464
0.2,0.6,4.0,1000.0,5.0,1.3546,153.588.974.175.501,26.894
0.2,0.6,4.0,1000.0,5.0,1.4,698.131.700.797.731,16.778
0.2,0.6,4.0,1000.0,5.0,1.4198,2.094.395.102.393.190,21.832
0.2,0.6,4.0,1000.0,5.0,1.4391,3.490.658.503.988.650,25.561
0.2,0.6,4.0,1000.0,5.0,51.938,4.886.921.905.584.120,"8,71E-01"
0.2,0.6,4.0,1000.0,5.0,1.4583,6.283.185.307.179.580,31.337
0.2,0.6,4.0,1000.0,5.0,76.821,767.944.870.877.505,21.315
0.2,0.6,4.0,1000.0,5.0,94.101,9.075.712.110.370.510,38.768
0.2,0.6,4.0,1000.0,5.0,1.0181,10.471.975.511.965.900,57.643
0.2,0.6,4.0,1000.0,5.0,1.0629,11.868.238.913.561.400,77
0.2,0.6,4.0,1000.0,5.0,1.1085,13.264.502.315.156.900,9.705
0.2,0.6,4.0,1000.0,5.0,1.1529,14.660.765.716.752.300,11.761
0.8,0.6,4.0,1000.0,13.333,17.141,418.879.020.478.639,"6,62E-01"
0.8,0.6,4.0,1000.0,13.333,99.023,5.585.053.606.381.850,46.532
0.8,0.6,4.0,1000.0,13.333,1.1971,6.981.317.007.977.310,52.016
0.8,0.6,4.0,1000.0,13.333,1.0245,8.377.580.409.572.780,56.555
0.8,0.6,4.0,1000.0,13.333,1.0441,9.773.843.811.168.240,60.167
0.8,0.6,4.0,1000.0,13.333,1.0644,1.117.010.721.276.370,63.837
0.8,0.6,4.0,1000.0,13.333,1.0845,12.566.370.614.359.100,68.507
0.8,0.6,4.0,1000.0,13.333,1.1038,13.962.634.015.954.600,73.866
0.8,0.6,4.0,1000.0,13.333,1.122,153.588.974.175.501,79.873
0.8,0.6,4.0,1000.0,13.333,1.1535,698.131.700.797.731,89.254
0.8,0.6,4.0,1000.0,13.333,34.006,2.094.395.102.393.190,27.949
0.8,0.6,4.0,1000.0,13.333,1.1678,3.490.658.503.988.650,11.663
0.8,0.6,4.0,1000.0,13.333,50.021,4.886.921.905.584.120,57.964
0.8,0.6,4.0,1000.0,13.333,6.432,6.283.185.307.179.580,10.136
0.8,0.6,4.0,1000.0,13.333,76.089,767.944.870.877.505,15.293
0.8,0.6,4.0,1000.0,13.333,85.292,9.075.712.110.370.510,20.351
0.8,0.6,4.0,1000.0,13.333,9.139,10.471.975.511.965.900,25.192
0.8,0.6,4.0,1000.0,13.333,94.668,11.868.238.913.561.400,29.906
0.8,0.6,4.0,1000.0,13.333,97.059,13.264.502.315.156.900,34.853
0.2,0.6,6.0,1000.0,5.0,25.152,0.0,"1,98E-01"
0.2,0.6,6.0,1000.0,5.0,1.1247,1.396.263.401.595.460,90.841
0.2,0.6,6.0,1000.0,5.0,1.1423,2.792.526.803.190.920,11.457
0.2,0.6,6.0,1000.0,5.0,1.1597,418.879.020.478.639,13.723
0.2,0.6,6.0,1000.0,5.0,1.1768,5.585.053.606.381.850,16.086
0.2,0.6,6.0,1000.0,5.0,1.193,6.981.317.007.977.310,18.571
0.2,0.6,6.0,1000.0,5.0,1.206,8.377.580.409.572.780,21.175
0.2,0.6,6.0,1000.0,5.0,1.219,9.773.843.811.168.240,23.868
0.2,0.6,6.0,1000.0,5.0,1.2319,1.117.010.721.276.370,26.544
0.2,0.6,6.0,1000.0,5.0,1.2445,12.566.370.614.359.100,29.134
0.2,0.6,6.0,1000.0,5.0,1.2561,13.962.634.015.954.600,31.574
0.2,0.6,6.0,1000.0,5.0,49.918,153.588.974.175.501,10.391
0.2,0.6,6.0,1000.0,5.0,73.783,698.131.700.797.731,16.223
0.2,0.6,6.0,1000.0,5.0,93.229,2.094.395.102.393.190,3.035
0.2,0.6,6.0,1000.0,5.0,99.447,3.490.658.503.988.650,45.136
0.2,0.6,6.0,1000.0,5.0,1.0247,4.886.921.905.584.120,60.876
0.2,0.6,6.0,1000.0,5.0,1.0521,6.283.185.307.179.580,77.646
0.2,0.6,6.0,1000.0,5.0,1.0794,767.944.870.877.505,9.598
0.2,0.6,6.0,1000.0,5.0,1.105,9.075.712.110.370.510,11.583
0.8,0.6,6.0,1000.0,13.333,15.893,14.660.765.716.752.300,"5,52E-01"
0.8,0.6,6.0,1000.0,13.333,96.135,0.0,25.131
0.8,0.6,6.0,1000.0,13.333,97.282,1.396.263.401.595.460,48.952
0.8,0.6,6.0,1000.0,13.333,98.332,2.792.526.803.190.920,5.878
0.8,0.6,6.0,1000.0,13.333,99.269,418.879.020.478.639,65.808
0.8,0.6,6.0,1000.0,13.333,1.2013,5.585.053.606.381.850,71.056
0.8,0.6,6.0,1000.0,13.333,1.1997,6.981.317.007.977.310,75.329
0.8,0.6,6.0,1000.0,13.333,1.0181,8.377.580.409.572.780,78.043
0.8,0.6,6.0,1000.0,13.333,1.0269,9.773.843.811.168.240,79.732
0.8,0.6,6.0,1000.0,13.333,1.0361,1.117.010.721.276.370,82.284
0.8,0.6,6.0,1000.0,13.333,31.531,12.566.370.614.359.100,21.821
0.8,0.6,6.0,1000.0,13.333,1.0454,13.962.634.015.954.600,87.278
0.8,0.6,6.0,1000.0,13.333,46.464,153.588.974.175.501,47.692
0.8,0.6,6.0,1000.0,13.333,71.196,698.131.700.797.731,12.338
0.8,0.6,6.0,1000.0,13.333,80.098,2.094.395.102.393.190,18.896
0.8,0.6,6.0,1000.0,13.333,86.566,3.490.658.503.988.650,24.872
0.8,0.6,6.0,1000.0,13.333,90.764,4.886.921.905.584.120,30.406
0.8,0.6,6.0,1000.0,13.333,93.211,6.283.185.307.179.580,35.499
0.2,0.8,10.0,1000.0,5.0,95.478,10.471.975.511.965.900,39.473
0.2,0.8,10.0,1000.0,5.0,97.995,11.868.238.913.561.400,46.386
0.2,0.8,10.0,1000.0,5.0,1.1931,13.264.502.315.156.900,53.235
0.2,0.8,10.0,1000.0,5.0,01.01,14.660.765.716.752.300,5.962
0.2,0.8,10.0,1000.0,5.0,1.0241,0.0,37.275
0.2,0.8,10.0,1000.0,5.0,1.0312,1.396.263.401.595.460,62.493
0.2,0.8,10.0,1000.0,5.0,1.0382,2.792.526.803.190.920,74.402
0.2,0.8,10.0,1000.0,5.0,1.0452,418.879.020.478.639,82.972
0.2,0.8,10.0,1000.0,5.0,1.052,5.585.053.606.381.850,9.055
0.2,0.8,10.0,1000.0,5.0,23.172,6.981.317.007.977.310,"1,66E-01"
0.2,0.8,10.0,1000.0,5.0,1.0588,8.377.580.409.572.780,99.027
0.2,0.8,10.0,1000.0,5.0,34.663,9.773.843.811.168.240,"3,76E-01"
0.2,0.8,10.0,1000.0,5.0,46.026,1.117.010.721.276.370,"6,71E-01"
0.2,0.8,10.0,1000.0,5.0,57.206,12.566.370.614.359.100,10.538
0.2,0.8,10.0,1000.0,5.0,6.813,13.962.634.015.954.600,15.218
0.2,0.8,10.0,1000.0,5.0,78.692,153.588.974.175.501,20.685
0.2,0.8,10.0,1000.0,5.0,9.296,698.131.700.797.731,26.988
0.8,0.8,10.0,1000.0,10.0,15.969,767.944.870.877.505,"4,18E-01"
0.8,0.8,10.0,1000.0,10.0,92.937,9.075.712.110.370.510,29.059
0.8,0.8,10.0,1000.0,10.0,93.851,10.471.975.511.965.900,31.532
0.8,0.8,10.0,1000.0,10.0,94.665,11.868.238.913.561.400,34.942
0.8,0.8,10.0,1000.0,10.0,95.405,13.264.502.315.156.900,39.487
0.8,0.8,10.0,1000.0,10.0,96.083,14.660.765.716.752.300,4.441
0.8,0.8,10.0,1000.0,10.0,97.279,0.0,32.342
0.8,0.8,10.0,1000.0,10.0,97.804,1.396.263.401.595.460,61.441
0.8,0.8,10.0,1000.0,10.0,98.291,2.792.526.803.190.920,73.097
0.8,0.8,10.0,1000.0,10.0,98.744,418.879.020.478.639,79.698
0.8,0.8,10.0,1000.0,10.0,31.702,5.585.053.606.381.850,17.443
0.8,0.8,10.0,1000.0,10.0,99.166,6.981.317.007.977.310,7.797
0.8,0.8,10.0,1000.0,10.0,46.776,8.377.580.409.572.780,36.868
0.8,0.8,10.0,1000.0,10.0,60.372,9.773.843.811.168.240,63.289
0.8,0.8,10.0,1000.0,10.0,71.663,1.117.010.721.276.370,92.907
0.8,0.8,10.0,1000.0,10.0,80.208,12.566.370.614.359.100,12.456
0.8,0.8,10.0,1000.0,10.0,86.224,13.962.634.015.954.600,15.908
0.8,0.8,10.0,1000.0,10.0,89.884,153.588.974.175.501,195
0.2,0.8,20.0,100.0,5.0,94.878,14.660.765.716.752.300,33.148
0.2,0.8,20.0,100.0,5.0,39.604,12.566.370.614.359.100,49.164
0.2,0.8,20.0,100.0,5.0,4.737,13.962.634.015.954.600,71.283
0.2,0.8,20.0,100.0,5.0,55.039,153.588.974.175.501,97.253
0.2,0.8,20.0,100.0,5.0,69.972,698.131.700.797.731,14.764
0.2,0.8,20.0,1000.0,5.0,78.973,2.094.395.102.393.190,"2,11E-02"
0.2,0.8,20.0,1000.0,5.0,76.552,3.490.658.503.988.650,18.981
0.2,0.8,20.0,1000.0,5.0,83.417,4.886.921.905.584.120,22.767
0.2,0.8,20.0,1000.0,5.0,89.548,6.283.185.307.179.580,27.027
0.2,0.8,20.0,1000.0,5.0,943,767.944.870.877.505,31.595
