a,b,c,d,e,val-esp
5.0,-1.0,4.0,3.0,2.0,-16.19
3.0,-3.0,5.0,-1.0,-4.0,2.1033333333333335
-3.0,-2.0,3.0,-1.0,0.0,-8.023333333333333
3.0,5.0,5.0,1.0,0.0,-7.043333333333333
1.0,-4.0,-1.0,-3.0,0.0,18.11
-2.0,3.0,0.0,-2.0,-4.0,-7.37
-2.0,-3.0,-3.0,4.0,3.0,29.87
4.0,3.0,-2.0,0.0,-1.0,-5.41
0.0,-5.0,-5.0,2.0,0.0,-2.1433333333333335
4.0,-5.0,5.0,4.0,3.0,-11.943333333333333
-1.0,5.0,2.0,-1.0,-5.0,-7.043333333333333
-5.0,-2.0,-1.0,4.0,-3.0,50.77666666666667
2.0,4.0,5.0,-5.0,-2.0,45.22333333333334
-2.0,1.0,-4.0,-2.0,5.0,-6.0633333333333335
-1.0,2.0,2.0,4.0,1.0,29.87
-1.0,1.0,3.0,4.0,-2.0,28.563333333333336
4.0,3.0,-5.0,-2.0,-5.0,12.23
-4.0,2.0,-3.0,-3.0,-5.0,-12.27
-3.0,-3.0,2.0,-4.0,3.0,5.043333333333333
-4.0,0.0,4.0,-4.0,5.0,-5.41
2.0,4.0,-1.0,-2.0,1.0,5.043333333333333
-2.0,1.0,1.0,0.0,-5.0,-5.41
0.0,-3.0,-4.0,-2.0,1.0,3.083333333333334
-2.0,-2.0,1.0,5.0,-1.0,48.489999999999995
-1.0,5.0,-2.0,-5.0,-1.0,19.09
5.0,-5.0,-1.0,-2.0,-3.0,20.723333333333333
-2.0,-3.0,4.0,-5.0,0.0,23.990000000000002
2.0,-5.0,2.0,-4.0,2.0,40.32333333333334
-2.0,-4.0,0.0,3.0,-2.0,15.170000000000002
0.0,-5.0,-3.0,1.0,-3.0,-5.41
0.0,-1.0,-5.0,1.0,-4.0,-4.1033333333333335
3.0,2.0,-2.0,3.0,-4.0,-3.45
-4.0,-3.0,-4.0,-1.0,4.0,-9.33
4.0,-2.0,-2.0,3.0,5.0,-12.27
3.0,1.0,3.0,-2.0,1.0,10.27
-3.0,0.0,-5.0,5.0,5.0,59.92333333333333
2.0,-4.0,-4.0,-3.0,4.0,23.01
-4.0,-1.0,-1.0,-2.0,-3.0,-11.29
-4.0,4.0,3.0,5.0,5.0,74.62333333333335
-1.0,3.0,-4.0,2.0,-3.0,6.35
1.0,0.0,1.0,-2.0,2.0,4.390000000000001
-4.0,0.0,-5.0,2.0,-5.0,14.190000000000001
5.0,2.0,3.0,5.0,5.0,-2.1433333333333335
1.0,5.0,-2.0,-3.0,5.0,9.290000000000001
0.0,2.0,4.0,1.0,4.0,-3.1233333333333335
-3.0,-3.0,3.0,5.0,4.0,55.02333333333334
4.0,3.0,-2.0,4.0,-5.0,-1.4900000000000002
-2.0,4.0,4.0,-3.0,2.0,-4.430000000000001
5.0,-4.0,4.0,-4.0,5.0,58.61666666666669
-4.0,-4.0,-4.0,1.0,-2.0,1.450000000000001
3.0,-5.0,-1.0,4.0,-2.0,-5.41
-5.0,2.0,3.0,4.0,-3.0,56.00333333333333
3.0,4.0,-3.0,4.0,3.0,6.35
-1.0,-3.0,-4.0,-1.0,-4.0,-4.43
4.0,-5.0,5.0,5.0,3.0,-5.41
5.0,-4.0,2.0,-2.0,4.0,20.070000000000004
1.0,5.0,-3.0,-5.0,1.0,35.42333333333333
-5.0,4.0,5.0,0.0,1.0,-5.41
2.0,4.0,-2.0,5.0,5.0,25.623333333333335
-5.0,-4.0,-3.0,-3.0,1.0,-11.29
-2.0,5.0,-5.0,-5.0,-4.0,10.923333333333332
-5.0,-1.0,2.0,-5.0,3.0,-3.776666666666667
-1.0,4.0,2.0,-5.0,-2.0,20.723333333333333
5.0,0.0,-5.0,-5.0,2.0,76.25666666666667
0.0,-4.0,2.0,4.0,-5.0,15.496666666666666
4.0,0.0,3.0,2.0,3.0,-11.943333333333333
0.0,2.0,-1.0,1.0,-3.0,-3.1233333333333335
5.0,-1.0,0.0,2.0,-1.0,-15.863333333333333
0.0,1.0,3.0,1.0,0.0,-3.45
-4.0,-2.0,4.0,0.0,-4.0,-5.41
2.0,-4.0,3.0,2.0,-1.0,-8.023333333333333
4.0,0.0,4.0,-3.0,-2.0,28.890000000000004
-1.0,-5.0,0.0,-3.0,2.0,9.290000000000001
-2.0,-1.0,-1.0,-3.0,4.0,0.46999999999999975
0.0,-3.0,-1.0,-2.0,1.0,3.083333333333334
-1.0,5.0,0.0,3.0,-4.0,19.09
3.0,-4.0,2.0,2.0,5.0,-11.29
5.0,-5.0,2.0,5.0,5.0,-13.576666666666666
-2.0,3.0,-2.0,-2.0,0.0,-7.37
5.0,-1.0,0.0,-1.0,-2.0,4.716666666666669
0.0,-5.0,2.0,-5.0,4.0,43.59
2.0,2.0,-3.0,-4.0,5.0,31.176666666666666
3.0,-4.0,4.0,0.0,-1.0,-5.41
-4.0,-3.0,-4.0,1.0,-3.0,1.7766666666666673
2.0,-5.0,-4.0,1.0,-5.0,-8.676666666666666
5.0,0.0,-2.0,0.0,2.0,-5.41
2.0,2.0,4.0,5.0,0.0,22.356666666666666
0.0,1.0,1.0,0.0,5.0,-5.41
-2.0,1.0,-2.0,2.0,-2.0,8.310000000000002
2.0,5.0,-2.0,-3.0,3.0,14.190000000000001
4.0,3.0,5.0,0.0,-2.0,-5.41
5.0,-1.0,2.0,3.0,-5.0,-16.19
2.0,-3.0,5.0,-3.0,4.0,22.03
-2.0,5.0,2.0,-2.0,1.0,-8.676666666666666
2.0,4.0,-4.0,-1.0,-2.0,-1.8166666666666664
3.0,3.0,1.0,2.0,2.0,-6.716666666666667
-2.0,-1.0,-4.0,-4.0,-2.0,8.963333333333335
-4.0,-4.0,2.0,-2.0,-5.0,-9.33
3.0,-5.0,0.0,2.0,1.0,-11.943333333333333
-5.0,2.0,1.0,0.0,1.0,-5.41
-1.0,-5.0,2.0,-4.0,-5.0,20.723333333333333
0.0,5.0,-3.0,-3.0,-3.0,4.390000000000001
-4.0,3.0,-3.0,2.0,-5.0,16.15
3.0,4.0,-4.0,1.0,2.0,-7.37
3.0,-2.0,1.0,-4.0,-3.0,42.93666666666667
-3.0,-2.0,-4.0,5.0,-1.0,56.656666666666666
1.0,3.0,1.0,-1.0,5.0,-3.1233333333333335
5.0,2.0,-1.0,1.0,1.0,-11.29
3.0,1.0,-4.0,-2.0,-2.0,10.27
1.0,3.0,3.0,-1.0,-3.0,-3.1233333333333335
5.0,-1.0,-1.0,-4.0,5.0,54.69666666666667
-3.0,0.0,-4.0,-1.0,4.0,-8.676666666666666
-4.0,4.0,-4.0,-4.0,4.0,-10.636666666666667
-5.0,-1.0,3.0,-3.0,-5.0,-14.23
5.0,2.0,-5.0,-2.0,-5.0,16.15
3.0,1.0,-2.0,-5.0,1.0,58.290000000000006
3.0,-2.0,3.0,1.0,4.0,-9.33
-5.0,4.0,1.0,-4.0,-1.0,-17.17
-1.0,1.0,-5.0,-4.0,4.0,12.883333333333333
5.0,-5.0,-2.0,-1.0,2.0,6.023333333333335
5.0,3.0,5.0,1.0,3.0,-10.963333333333335
4.0,-1.0,-5.0,-1.0,0.0,3.083333333333334
3.0,2.0,5.0,-4.0,-3.0,37.709999999999994
2.0,-4.0,-2.0,0.0,-3.0,-5.41
3.0,3.0,0.0,-1.0,-1.0,0.14333333333333353
2.0,-2.0,4.0,-5.0,0.0,55.02333333333334
-5.0,5.0,5.0,-2.0,-4.0,-18.476666666666667
-4.0,4.0,3.0,-1.0,-2.0,-11.616666666666667
-3.0,0.0,1.0,0.0,3.0,-5.41
5.0,-2.0,-5.0,-3.0,-4.0,35.75
-2.0,-4.0,4.0,-5.0,-4.0,25.623333333333335
2.0,0.0,-4.0,-5.0,-1.0,51.756666666666675
-1.0,5.0,-3.0,1.0,2.0,-0.5099999999999998
-4.0,4.0,-1.0,-4.0,-4.0,-10.636666666666667
-5.0,2.0,-5.0,4.0,-2.0,56.00333333333333
4.0,-1.0,3.0,-3.0,-3.0,29.87
3.0,1.0,-5.0,2.0,4.0,-8.023333333333333
-1.0,5.0,4.0,-4.0,5.0,7.656666666666666
0.0,2.0,3.0,5.0,4.0,38.69
-1.0,-3.0,3.0,1.0,3.0,-3.1233333333333335
4.0,5.0,-1.0,2.0,2.0,-8.676666666666666
-4.0,2.0,-5.0,-3.0,-4.0,-12.27
5.0,-4.0,-4.0,-2.0,-5.0,20.070000000000004
5.0,-1.0,-2.0,-1.0,-5.0,4.716666666666669
3.0,-1.0,-2.0,1.0,1.0,-9.003333333333334
5.0,3.0,-3.0,-4.0,-4.0,49.47000000000001
5.0,1.0,3.0,4.0,-5.0,-10.636666666666667
-5.0,2.0,-2.0,-4.0,2.0,-14.556666666666667
1.0,-1.0,5.0,1.0,1.0,-5.736666666666666
5.0,-3.0,-3.0,1.0,2.0,-12.923333333333334
0.0,-1.0,-4.0,4.0,-2.0,19.416666666666668
3.0,-4.0,-2.0,2.0,4.0,-11.29
-3.0,1.0,3.0,-1.0,-2.0,-9.003333333333334
2.0,-1.0,3.0,-2.0,2.0,8.310000000000002
-5.0,5.0,-2.0,-2.0,-3.0,-18.476666666666667
2.0,-4.0,0.0,-5.0,0.0,58.290000000000006
2.0,0.0,4.0,-3.0,0.0,19.09
-1.0,-1.0,1.0,-3.0,-5.0,5.370000000000001
3.0,-2.0,-2.0,3.0,5.0,-7.37
2.0,-1.0,4.0,5.0,4.0,17.456666666666667
4.0,2.0,-1.0,1.0,4.0,-9.656666666666666
2.0,1.0,0.0,3.0,0.0,0.46999999999999975
3.0,4.0,-5.0,-3.0,-5.0,20.070000000000004
4.0,5.0,5.0,-5.0,2.0,59.92333333333333
3.0,-4.0,-3.0,-5.0,-3.0,66.45666666666668
-3.0,-5.0,1.0,-2.0,-2.0,-5.41
-1.0,4.0,5.0,1.0,5.0,-0.8366666666666669
3.0,-4.0,1.0,-5.0,4.0,66.45666666666668
-3.0,2.0,1.0,3.0,5.0,25.950000000000003
-4.0,5.0,-2.0,2.0,-3.0,17.45666666666667
3.0,4.0,0.0,4.0,-2.0,6.35
4.0,1.0,-3.0,3.0,-4.0,-9.33
-3.0,3.0,2.0,3.0,3.0,26.930000000000003
3.0,-1.0,-2.0,-4.0,1.0,41.629999999999995
-2.0,5.0,2.0,-1.0,-4.0,-8.676666666666666
-2.0,-1.0,-5.0,4.0,0.0,32.483333333333334
2.0,3.0,2.0,4.0,-1.0,11.576666666666668
-5.0,5.0,1.0,1.0,4.0,6.023333333333335
-3.0,2.0,-3.0,-2.0,2.0,-9.983333333333334
-1.0,-5.0,3.0,4.0,5.0,20.723333333333333
-2.0,-1.0,5.0,5.0,-3.0,50.123333333333335
-2.0,-5.0,4.0,-3.0,-1.0,4.390000000000001
2.0,5.0,0.0,-2.0,5.0,4.390000000000001
-5.0,2.0,-5.0,2.0,2.0,18.763333333333335
2.0,0.0,-1.0,5.0,-2.0,19.09
